gene_id	B100	B110	B175	B200	B210	B275	B300	B310	B375
MSTRG.10671	0	1224	2140	0	1107	1011	0	1002	598
MSTRG.10672	226467	0	31	200325	0	165	159932	0	111
MSTRG.10673	15830	59	2043	12518	1247	3494	9621	35	2588
MSTRG.10674	2	0	131	1	0	477	3	0	349
MSTRG.10675	1	360	5047	1	875	5181	1	451	6082
MSTRG.10676	72	343	125	43	56	101	35	32	14
MSTRG.10677	1	3085	10964	1	995	11802	1	1388	5616
MSTRG.10678	1	46	2076	1	91	4366	1	116	1692
MSTRG.10679	1	0	1555	1	0	806	1	0	1445
MSTRG.1068	15	1	235	7	1	273	1	0	116
MSTRG.10680	65	158	728	53	1355	1299	63	175	579
MSTRG.10681	93	3466	21727	69	3269	24422	81	4583	16182
MSTRG.10682	14	275	358	32	343	287	7	248	237
MSTRG.10683	21	120	456	37	59	805	0	63	567
MSTRG.10684	0	2475	1	1	1793	3	1	2386	93
MSTRG.10685	450	3	633	191	20	1192	1080	9	861
MSTRG.10686	1311	53	1228	841	24	1304	992	286	1879
MSTRG.10687	9024	657	22	5562	553	107	6307	1041	16
MSTRG.10688	610	6	1171	590	28	1379	497	13	675
MSTRG.10689	12511	2545	79	6769	3804	72	8895	2336	45
MSTRG.1069	157	2534	0	79	2534	0	10	3547	0
MSTRG.10690	918	1193	233	644	1368	367	427	827	311
MSTRG.10691	172	972	1	40	702	3	87	2630	6
MSTRG.10692	823	2185	480	1021	1054	618	569	774	381
MSTRG.10693	701	0	1009	257	0	1489	49	0	737
MSTRG.10694	736	6623	58368	506	4419	74186	376	1386	62333
MSTRG.10695	110	1852	411	34	1108	505	22	473	636
MSTRG.10696	90	0	1200	122	0	984	8	0	940
MSTRG.10697	1496	47	137	1467	69	31	268	252	148
MSTRG.10698	459	684	95	265	305	78	227	194	74
MSTRG.10699	2942	182	179	2811	149	74	3031	296	32
MSTRG.107	751	1158	0	583	1152	0	860	1759	0
MSTRG.1070	248	4658	75	91	3618	39	23	8540	80
MSTRG.10700	14	0	72	11	0	62	38	0	15
MSTRG.10701	0	903	849	0	104	3158	0	1421	390
MSTRG.10702	42	105	134	83	2610	258	69	49	64
MSTRG.10703	756	58	331	474	4	103	888	77	227
MSTRG.10704	226	644	1401	346	428	1729	310	346	1440
MSTRG.10705	22	2470	1918	59	415	2799	3	2215	1957
MSTRG.10706	1009	933	952	866	734	1090	685	595	922
MSTRG.10707	4089	0	123	4160	12	9339	1256	35	225
MSTRG.10708	534	17	6	281	310	28	100	65	2
MSTRG.10709	1806	0	840	438	0	1109	526	0	1481
MSTRG.1071	0	2893	93	18	520	92	137	3301	194
MSTRG.10710	188	12852	10	475	7955	1	38	2744	6
MSTRG.10711	817	0	1345	1039	0	1159	591	0	1036
MSTRG.10712	858	0	2959	558	0	1991	246	0	1751
MSTRG.10713	40	379	2291	53	516	1410	45	368	2099
MSTRG.10714	704	0	636	593	0	128	952	0	1010
MSTRG.10715	1736	21515	3626	71	70672	4410	1866	14967	1649
MSTRG.10716	10366	17356	2352	7152	3331	3444	12422	43002	4838
MSTRG.10717	213	53	0	86	21	0	19	19	0
MSTRG.10718	227	1	97	320	38	56	210	2	169
MSTRG.10719	159	7	465	299	0	350	232	1	381
MSTRG.1072	8499	1521	661	6199	1941	675	4232	1428	424
MSTRG.10720	613	1	1266	522	1	675	259	1	367
MSTRG.10721	3752	10900	1713	1818	5524	2107	1537	10115	1140
