gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.4385	1	2	6147	232	82	21	46	2645	154	110	1	0	2728	314	364
MSTRG.4386	4	4	1719	625	45	230	59	876	725	99	126	0	31	605	42
MSTRG.4387	0	552	937	977	3816	80	932	1011	1021	4477	0	631	1279	1143	2781
MSTRG.4388	124	3116	28	3327	7092	509	2264	109	3942	7354	1259	2617	40	1871	9094
MSTRG.4389	3	129	1397	166	1	5	44	993	142	1	10	77	1057	218	3
MSTRG.439	1991	138	74	0	374	1079	16	8	0	293	1076	73	19	0	193
MSTRG.4390	1	46	291	585	42	87	52	69	309	93	0	48	468	643	18
MSTRG.4391	8	87232	1646	608	106	49	155310	1496	854	84	1	92901	1770	583	10
MSTRG.4392	1	2115	0	5	1	89	4238	0	43	1	0	448	0	0	1
MSTRG.4393	755	924	47	619	672	693	2249	123	632	812	533	1227	91	446	691
MSTRG.4394	1238	5194	1692	4261	1537	1162	6851	1178	171	1899	993	1784	2184	2196	487
MSTRG.4395	1705	146	92	0	2303	1352	3	421	0	2491	986	49	148	0	1993
MSTRG.4396	219	448	4346	1133	1315	89	91	1894	1374	1893	132	234	6644	1671	847
MSTRG.4397	114345	378	0	1031	0	135945	483	0	2161	0	61640	214	0	1657	0
MSTRG.4398	63	343	0	117	788	0	1062	0	62	878	0	487	0	112	1395
MSTRG.4399	1817	827	0	12	131	1481	327	0	1	21	37	888	0	26	4
MSTRG.44	11	675	6254	5242	513	2	550	5285	4638	343	96	659	7752	5534	279
MSTRG.440	1814	330	15	1774	61	4817	175	203	2209	25	1131	323	3	901	150
MSTRG.4400	1404	827	0	14	675	2815	652	28	0	773	800	1077	0	81	343
MSTRG.4401	10822	437	11	207	1607	10532	392	13	148	3259	8552	228	74	100	949
MSTRG.4402	102830	1712	713	2478	294	31666	4187	1056	2033	206	90675	2415	145	1992	462
MSTRG.4403	101	478	2937	131	240	163	186	2120	212	226	3	2113	1771	294	243
MSTRG.4404	8	7344	133	3870	2941	12	3144	50	2807	4761	2	1951	383	3512	1869
MSTRG.4405	1	93	2217	5	9548	1	790	1667	1	11055	1	159	1515	5	14267
MSTRG.4406	1	1892	523	5	10252	43	1126	233	1	9274	34	1431	91	3	9021
MSTRG.4407	3	558	66	1	346	2	355	2	9	388	558	927	0	1	460
MSTRG.4408	240	3716	886	280	58	287	3104	891	297	46	171	3256	813	755	295
MSTRG.4409	1	275	0	8	1548	1	254	0	43	1068	1	69	0	8	2156
MSTRG.441	399	4031	918	423	75	182	3978	1244	137	73	218	2757	883	307	108
MSTRG.4410	10914	183	7	12	304	8038	285	44	20	189	1685	214	6	60	287
MSTRG.4411	63	96	99	768	3	0	62	239	1060	0	58	320	30	373	35
MSTRG.4412	626	3924	568	1356	1403	169	2432	630	12785	1263	324	2739	621	688	845
MSTRG.4413	1295	3356	108	2559	420	2465	4902	179	10781	693	357	4642	103	2303	624
MSTRG.4414	1391	5935	278	18962	1231	557	1908	261	8734	977	1127	2212	446	3887	590
MSTRG.4415	460	11533	538	269	92	357	10327	470	183	61	741	12211	464	249	123
MSTRG.4416	651	0	3393	1144	39253	320	130	4406	1651	25170	218	0	2935	996	13878
MSTRG.4417	1987	713	7546	1210	508	2883	2613	13305	821	144	1320	683	7665	1909	2501
MSTRG.4418	535	2543	145	0	114	204	4594	1501	0	97	1157	2147	0	0	209
MSTRG.4419	9555	2012	3383	0	317	3017	2651	2594	0	190	1106	1669	3234	0	398
MSTRG.442	5439	0	1592	86	791	3642	44	3305	831	872	1414	0	1117	97	520
MSTRG.4420	169	2282	0	0	83	610	1282	243	0	42	144	696	91	0	66
MSTRG.4421	1567	669	196	19	0	999	424	78	29	0	964	650	47	1	0
MSTRG.4422	666	122	0	0	345	396	64	7	0	344	819	168	0	0	344
MSTRG.4423	3297	53	357	14	0	2750	26	4735	120	0	1746	47	720	82	15
MSTRG.4424	327	76	22143	11	1767	242	45	13156	43	2257	56	97	19857	12	3148
MSTRG.4425	230	214	1	13	271	243	143	21	50	309	154	307	18	6	300
MSTRG.4426	134	1258	16	182	12679	89	1362	4	262	15663	688	1335	53	268	4746
MSTRG.4427	5278	219	69	724	1002	2900	134	13	229	1162	2547	117	5	72	1025
MSTRG.4428	3922	26	238	2	1480	4586	74	292	3	1939	3439	246	234	1	1159
MSTRG.4429	16	388	133	0	0	1	306	235	1	618	44	707	184	0	0
MSTRG.443	118	162	286	642	147	936	2287	211	308	201	35	228	254	517	329
MSTRG.4430	408	380	193	0	3129	338	1297	41	4	8492	682	936	8	33	411
MSTRG.4431	464	9	364	3558	534	845	15	247	2620	245	494	12	368	2489	191
MSTRG.4432	24	9752	4788	8801	0	8	4242	3668	34420	0	15	5474	4140	6355	0
MSTRG.4433	11307	127	5040	6226	2887	4286	110	6262	4479	2726	3145	259	6188	4140	1077
MSTRG.4434	170	343	292	3384	956	93	893	92	1414	1112	202	353	155	3121	1052
MSTRG.4435	484	60	1087	414	16567	894	29	3573	295	28272	255	29	1508	398	11799
MSTRG.4436	77	243	140	0	3749	89	129	25	0	7819	61	134	1	0	2660
MSTRG.4437	176	311	11	309	114	172	812	76	261	91	67	301	35	680	76
MSTRG.4438	7106	1632	12	10	1109	2583	2391	6	48	1106	2004	2499	128	47	785
MSTRG.4439	14566	715	30	365	5648	12785	1055	12	808	3288	11784	1202	67	722	6159
MSTRG.444	2202	0	5856	596	1516	10324	0	2951	628	940	3067	52	3630	563	991
MSTRG.4440	523	11408	291	163	114	159	10251	210	273	146	171	10196	420	235	244
MSTRG.4441	1	129	0	19	33	26	143	50	57	41	5	0	5	11	0
MSTRG.4442	815	7	379	12026	989	2472	29	390	9057	740	225	14	514	7872	820
MSTRG.4443	3795	2156	19	36	1480	4377	1722	20	8	2503	1809	1951	2	57	1129
MSTRG.4444	2784	2	3	32	203	1967	2277	41	18	381	381	1	49	13	266
MSTRG.4445	2087	961	1203	9035	999	1176	754	717	8237	1577	145	1522	979	8123	753
MSTRG.4446	1014	1779	345	4472	1730	132	2844	243	4073	2212	256	1746	221	2932	1715
MSTRG.4447	99	234	2923	62	489	67	90	3423	627	394	120	146	2750	83	694
MSTRG.4448	34	6178	10958	0	674	63	3860	24663	0	564	65	2154	9199	0	605
MSTRG.4449	82	1647	7949	183	821	57	1300	7267	110	1081	20	132	11695	22	442
MSTRG.445	10	2684	24	2993	1345	9	10337	1048	6348	1286	35	10588	65	4487	601
MSTRG.4450	128	894	101	0	1153	80	1317	126	0	1084	87	1597	247	0	1063
