gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.5246	10	1591	8613	5509	724	0	1474	14759	3136	1141	29	1259	6745	4710	2226
MSTRG.5247	1071	230	2378	6562	2	800	494	29466	2173	0	360	90	2471	3629	4
MSTRG.5248	4132	809	24	1283	2322	3022	38	157	497	5272	2678	702	186	364	3115
MSTRG.5249	1613	1264	2718	0	0	1924	805	1446	0	0	705	782	2105	0	0
MSTRG.525	3088	2028	6723	164	1720	6396	2211	12765	271	1439	2963	2623	7015	134	1426
MSTRG.5250	12017	508	326	425	1	8347	445	51	191	78	8308	588	302	1058	16
MSTRG.5251	1	29	2390	28	1320	6	1367	1423	0	2230	14	293	1614	0	1234
MSTRG.5252	2971	171	104	382	108	2515	913	773	138	130	2953	379	141	265	255
MSTRG.5253	1	2751	1988	176	282	1	2141	2350	123	93	5	5639	2239	75	309
MSTRG.5254	79	1500	5107	841	342	43	2604	3076	1640	732	113	3259	5365	1113	462
MSTRG.5255	2272	38	54	18	1498	913	130	8	9	2058	669	74	0	5	1636
MSTRG.5256	3	60	388	1565	3197	158	47	389	1983	2664	48	271	354	1366	2657
MSTRG.5257	419	2673	1689	693	240	242	2485	2063	334	560	521	2703	1815	639	249
MSTRG.5258	5515	728	1203	561	471	5139	581	406	1117	2093	4062	509	2654	146	2220
MSTRG.5259	146	6	2926	12	2662	73	30	2103	1163	2846	12	29	2484	59	2002
MSTRG.526	6775	468	10602	4	780	5123	778	6062	4	85	3609	566	12511	24	370
MSTRG.5260	1569	133	8	563	870	1928	96	188	942	946	1163	135	629	532	1694
MSTRG.5261	1928	5	1483	222	182	966	35	2895	760	113	1223	33	2099	544	183
MSTRG.5262	2624	60	524	4070	0	1961	112	798	4072	0	2115	56	874	3715	0
MSTRG.5263	2576	9	91	3613	1549	555	218	95	1078	3929	203	13	168	1139	1279
